                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.024,                 5.2301,                 1.7175,                 0.5011,                0.29956,                0.26704,                0.12326,                 1.7574,                 2.9888,                 1.4732,              3.852e-05,              3.852e-05,              3.852e-05
                      2,                 1.9391,                 3.1365,                 1.6016,                0.60635,                0.56386,                0.59689,                0.28303,                 1.6929,                 1.4739,                 1.4639,             7.6423e-05,             7.6423e-05,             7.6423e-05
                      3,                 1.8503,                 2.1071,                 1.5459,                0.69298,                0.67489,                0.71579,                0.35619,                 1.6388,                 1.2101,                 1.4425,             0.00011356,             0.00011356,             0.00011356
                      4,                  1.777,                 1.8215,                 1.5153,                 0.6916,                0.71642,                0.73026,                 0.3658,                 1.5982,                 1.1547,                 1.4192,             0.00011255,             0.00011255,             0.00011255
                      5,                 1.7384,                 1.6973,                 1.4893,                0.77324,                0.73898,                0.79564,                0.40117,                 1.5791,                 1.0415,                 1.3933,             0.00011141,             0.00011141,             0.00011141
                      6,                 1.6957,                 1.5977,                 1.4501,                0.73341,                0.77265,                 0.7916,                0.40702,                 1.5494,                 1.0284,                  1.359,             0.00011026,             0.00011026,             0.00011026
                      7,                 1.6525,                 1.4804,                 1.4218,                0.75639,                0.76508,                0.80064,                0.41473,                 1.5559,                 1.0122,                  1.337,             0.00010911,             0.00010911,             0.00010911
                      8,                 1.6394,                 1.4395,                 1.4182,                0.77997,                0.78043,                0.81326,                0.42622,                 1.5377,                0.94948,                  1.331,             0.00010796,             0.00010796,             0.00010796
                      9,                 1.6337,                 1.3723,                 1.3981,                0.77433,                0.78238,                0.82193,                0.42685,                 1.5624,                0.95931,                 1.3351,             0.00010681,             0.00010681,             0.00010681
                     10,                 1.6036,                 1.3189,                 1.3803,                0.75314,                0.82451,                0.83708,                0.43549,                  1.542,                0.93469,                 1.3254,             0.00010566,             0.00010566,             0.00010566
                     11,                 1.6064,                 1.2801,                  1.369,                0.80126,                0.81398,                0.84139,                0.43955,                 1.5336,                0.91062,                 1.3229,             0.00010452,             0.00010452,             0.00010452
                     12,                 1.5881,                  1.241,                 1.3623,                0.78427,                0.80271,                0.83946,                0.42491,                 1.5596,                0.91568,                 1.3258,             0.00010337,             0.00010337,             0.00010337
                     13,                 1.5866,                  1.222,                 1.3598,                0.81556,                0.80482,                 0.8551,                0.44761,                 1.5371,                0.89913,                 1.3202,             0.00010222,             0.00010222,             0.00010222
                     14,                 1.5543,                 1.1926,                 1.3447,                0.79522,                0.82214,                0.83354,                0.42212,                 1.5846,                0.90216,                 1.3531,             0.00010107,             0.00010107,             0.00010107
                     15,                 1.5335,                   1.15,                 1.3355,                0.79062,                0.84138,                0.85408,                0.45776,                 1.5069,                0.86614,                 1.3099,             9.9922e-05,             9.9922e-05,             9.9922e-05
                     16,                 1.5324,                 1.1245,                  1.337,                0.80123,                0.82082,                 0.8553,                0.44998,                 1.5317,                0.86725,                 1.3095,             9.8774e-05,             9.8774e-05,             9.8774e-05
                     17,                 1.5152,                 1.1114,                 1.3255,                0.79321,                0.82138,                0.84676,                0.45252,                 1.5381,                0.87865,                 1.3114,             9.7626e-05,             9.7626e-05,             9.7626e-05
                     18,                 1.5032,                 1.0874,                 1.3152,                0.77555,                0.84445,                0.84028,                0.43346,                 1.5675,                 0.8769,                 1.3318,             9.6477e-05,             9.6477e-05,             9.6477e-05
                     19,                 1.4976,                 1.0647,                 1.3087,                0.82092,                0.84046,                0.86293,                0.46122,                    1.5,                0.83943,                 1.3032,             9.5329e-05,             9.5329e-05,             9.5329e-05
                     20,                 1.4989,                 1.0542,                 1.2979,                0.81339,                0.84391,                0.86569,                 0.4607,                 1.5258,                0.84238,                 1.3107,              9.418e-05,              9.418e-05,              9.418e-05
                     21,                 1.4804,                 1.0267,                  1.294,                0.82836,                0.81349,                 0.8549,                0.42154,                 1.6371,                0.86757,                 1.3512,             9.3032e-05,             9.3032e-05,             9.3032e-05
                     22,                 1.4595,                 1.0051,                  1.285,                   0.82,                0.84385,                0.87498,                 0.4622,                 1.5216,                0.83099,                 1.3094,             9.1884e-05,             9.1884e-05,             9.1884e-05
                     23,                 1.4698,                 1.0044,                 1.2867,                0.81932,                0.83042,                0.85452,                0.43365,                 1.6034,                0.85715,                 1.3612,             9.0735e-05,             9.0735e-05,             9.0735e-05
                     24,                 1.4527,                0.99222,                 1.2764,                0.81159,                0.84979,                0.86851,                0.45272,                 1.5561,                0.84733,                 1.3269,             8.9587e-05,             8.9587e-05,             8.9587e-05
                     25,                 1.4547,                0.99595,                 1.2738,                0.84106,                0.83146,                0.88013,                0.46655,                 1.5154,                0.83122,                 1.3082,             8.8438e-05,             8.8438e-05,             8.8438e-05
                     26,                 1.4412,                0.97016,                 1.2757,                0.82342,                0.85522,                0.87966,                0.46621,                 1.5244,                0.82009,                 1.3188,              8.729e-05,              8.729e-05,              8.729e-05
                     27,                 1.4358,                0.95844,                 1.2689,                0.83606,                0.83705,                0.88095,                 0.4639,                 1.5479,                0.83883,                  1.316,             8.6142e-05,             8.6142e-05,             8.6142e-05
                     28,                 1.4311,                0.96382,                 1.2643,                0.84836,                0.83721,                0.87398,                0.46818,                  1.547,                0.83348,                 1.3191,             8.4993e-05,             8.4993e-05,             8.4993e-05
                     29,                 1.4147,                0.93763,                  1.265,                0.85677,                0.82142,                 0.8758,                0.46755,                 1.5269,                0.84113,                 1.3127,             8.3845e-05,             8.3845e-05,             8.3845e-05
                     30,                  1.411,                0.94265,                 1.2535,                0.81556,                0.85186,                0.86521,                  0.456,                 1.5301,                0.83333,                  1.325,             8.2696e-05,             8.2696e-05,             8.2696e-05
                     31,                 1.4159,                0.93253,                 1.2521,                0.84204,                0.83355,                0.88143,                0.46455,                 1.5628,                0.83498,                  1.318,             8.1548e-05,             8.1548e-05,             8.1548e-05
                     32,                 1.4058,                0.91013,                 1.2493,                0.82978,                0.83756,                0.86871,                0.45903,                 1.5359,                 0.8303,                 1.3152,               8.04e-05,               8.04e-05,               8.04e-05
                     33,                 1.3934,                0.90083,                 1.2402,                 0.8316,                0.84866,                0.87164,                0.46567,                 1.5231,                0.84906,                 1.3126,             7.9251e-05,             7.9251e-05,             7.9251e-05
                     34,                  1.376,                0.90639,                 1.2395,                0.82754,                0.85098,                0.86849,                0.45834,                 1.5309,                0.82734,                 1.3245,             7.8103e-05,             7.8103e-05,             7.8103e-05
                     35,                  1.386,                0.89629,                 1.2348,                0.82277,                0.85211,                 0.8753,                0.45978,                 1.5391,                0.82789,                 1.3317,             7.6954e-05,             7.6954e-05,             7.6954e-05
                     36,                 1.3762,                0.88403,                 1.2308,                0.82915,                0.83885,                0.87482,                0.45852,                 1.5521,                0.82887,                 1.3302,             7.5806e-05,             7.5806e-05,             7.5806e-05
                     37,                 1.3691,                0.88546,                 1.2246,                 0.8265,                0.84446,                0.87405,                0.45969,                 1.5622,                0.84397,                 1.3355,             7.4658e-05,             7.4658e-05,             7.4658e-05
                     38,                 1.3521,                0.86967,                 1.2171,                 0.8241,                 0.8671,                0.88034,                 0.4612,                 1.5453,                0.81067,                  1.328,             7.3509e-05,             7.3509e-05,             7.3509e-05
                     39,                 1.3435,                0.86051,                 1.2148,                0.83537,                0.83407,                0.87265,                0.46011,                 1.5534,                0.80885,                 1.3337,             7.2361e-05,             7.2361e-05,             7.2361e-05
                     40,                 1.3673,                0.87295,                 1.2216,                0.81657,                 0.8634,                0.87042,                0.45584,                 1.5649,                0.82395,                 1.3371,             7.1212e-05,             7.1212e-05,             7.1212e-05
                     41,                 1.3367,                 0.8577,                 1.2087,                0.80866,                0.86129,                0.87833,                0.47026,                 1.5356,                0.82084,                 1.3315,             7.0064e-05,             7.0064e-05,             7.0064e-05
                     42,                 1.3504,                 0.8532,                 1.2116,                 0.8223,                0.85917,                0.88255,                0.46706,                 1.5496,                0.81951,                 1.3276,             6.8916e-05,             6.8916e-05,             6.8916e-05
                     43,                 1.3235,                0.84452,                 1.2041,                0.81353,                0.86214,                0.86885,                0.45783,                 1.5563,                0.80712,                 1.3478,             6.7767e-05,             6.7767e-05,             6.7767e-05
                     44,                 1.3317,                0.83932,                 1.1978,                0.84923,                0.84367,                0.88289,                0.46684,                 1.5643,                0.82449,                 1.3482,             6.6619e-05,             6.6619e-05,             6.6619e-05
                     45,                 1.3074,                0.82662,                 1.1972,                0.83719,                0.84082,                0.88019,                0.45698,                 1.5856,                0.82664,                 1.3589,              6.547e-05,              6.547e-05,              6.547e-05
                     46,                 1.3033,                0.81616,                 1.1898,                0.83238,                0.84861,                0.87833,                0.46592,                 1.5655,                0.81911,                 1.3476,             6.4322e-05,             6.4322e-05,             6.4322e-05
                     47,                 1.2902,                0.81314,                 1.1895,                0.82997,                0.87042,                0.88432,                0.46388,                 1.5701,                0.81531,                   1.34,             6.3174e-05,             6.3174e-05,             6.3174e-05
                     48,                 1.3055,                0.81034,                 1.1917,                0.84496,                0.84296,                0.88101,                0.46414,                 1.5632,                0.82638,                 1.3468,             6.2025e-05,             6.2025e-05,             6.2025e-05
                     49,                 1.3044,                 0.8165,                 1.1849,                0.83328,                0.86575,                0.87819,                0.45881,                 1.5753,                0.81416,                 1.3465,             6.0877e-05,             6.0877e-05,             6.0877e-05
                     50,                 1.3087,                0.80783,                 1.1904,                0.83012,                0.85415,                0.88002,                0.45879,                 1.5851,                0.80413,                 1.3585,             5.9728e-05,             5.9728e-05,             5.9728e-05
                     51,                 1.2986,                0.80389,                 1.1851,                0.83824,                0.85447,                0.88111,                0.46765,                 1.5532,                 0.8166,                 1.3517,              5.858e-05,              5.858e-05,              5.858e-05
                     52,                  1.289,                 0.7937,                 1.1768,                0.83717,                0.85316,                0.88254,                0.47245,                 1.5419,                0.81697,                 1.3295,             5.7432e-05,             5.7432e-05,             5.7432e-05
                     53,                  1.283,                0.79578,                 1.1766,                0.84309,                0.84922,                 0.8831,                0.46831,                 1.5588,                0.79316,                 1.3468,             5.6283e-05,             5.6283e-05,             5.6283e-05
                     54,                 1.2831,                0.79845,                 1.1805,                0.82479,                0.86921,                0.88199,                 0.4594,                 1.5815,                0.80922,                 1.3546,             5.5135e-05,             5.5135e-05,             5.5135e-05
                     55,                 1.2701,                0.78921,                 1.1714,                0.82893,                0.86275,                0.88062,                0.46535,                 1.5772,                0.80202,                  1.354,             5.3986e-05,             5.3986e-05,             5.3986e-05
                     56,                  1.262,                0.77418,                 1.1706,                0.83078,                0.86413,                0.87922,                0.46571,                 1.5661,                0.79807,                  1.361,             5.2838e-05,             5.2838e-05,             5.2838e-05
                     57,                 1.2613,                0.77233,                 1.1701,                0.82641,                0.85186,                0.87537,                0.46094,                 1.5945,                0.80914,                 1.3674,              5.169e-05,              5.169e-05,              5.169e-05
                     58,                 1.2602,                0.77344,                 1.1682,                0.81666,                0.86574,                0.87586,                0.46872,                  1.573,                0.79988,                 1.3582,             5.0541e-05,             5.0541e-05,             5.0541e-05
                     59,                 1.2579,                0.77997,                   1.17,                0.83702,                0.85254,                 0.8838,                0.47213,                  1.565,                0.79701,                 1.3518,             4.9393e-05,             4.9393e-05,             4.9393e-05
                     60,                 1.2609,                0.77949,                   1.16,                0.83145,                0.85509,                0.87681,                0.46735,                 1.5651,                0.79009,                 1.3646,             4.8244e-05,             4.8244e-05,             4.8244e-05
                     61,                 1.2506,                0.76676,                 1.1623,                0.84807,                0.84029,                 0.8859,                0.46742,                 1.5632,                0.79989,                 1.3552,             4.7096e-05,             4.7096e-05,             4.7096e-05
                     62,                 1.2498,                0.76075,                 1.1572,                0.83137,                0.86128,                0.87597,                0.46051,                 1.5817,                0.79896,                 1.3732,             4.5948e-05,             4.5948e-05,             4.5948e-05
                     63,                 1.2509,                0.76893,                 1.1618,                0.84683,                0.85004,                0.87874,                 0.4616,                 1.5767,                0.79957,                 1.3635,             4.4799e-05,             4.4799e-05,             4.4799e-05
                     64,                 1.2368,                0.77106,                 1.1528,                0.84565,                0.84157,                0.88062,                0.46406,                 1.5675,                0.79638,                 1.3585,             4.3651e-05,             4.3651e-05,             4.3651e-05
                     65,                  1.242,                0.75566,                 1.1508,                0.81999,                0.86113,                0.87502,                0.46445,                 1.5611,                0.78961,                 1.3621,             4.2502e-05,             4.2502e-05,             4.2502e-05
                     66,                 1.2307,                0.74258,                 1.1425,                0.79902,                0.88339,                 0.8749,                0.46427,                 1.5621,                0.79331,                 1.3599,             4.1354e-05,             4.1354e-05,             4.1354e-05
                     67,                 1.2233,                0.74321,                 1.1445,                0.80877,                0.88773,                0.88123,                0.46919,                 1.5642,                0.79056,                  1.364,             4.0206e-05,             4.0206e-05,             4.0206e-05
                     68,                 1.2261,                0.75067,                 1.1472,                0.84097,                0.85462,                 0.8825,                 0.4713,                 1.5615,                0.80118,                 1.3582,             3.9057e-05,             3.9057e-05,             3.9057e-05
                     69,                  1.226,                0.74109,                 1.1455,                 0.8297,                0.86961,                0.88379,                0.47298,                 1.5652,                0.78094,                  1.364,             3.7909e-05,             3.7909e-05,             3.7909e-05
                     70,                 1.2194,                0.73495,                 1.1412,                0.84235,                0.85687,                0.88096,                 0.4685,                 1.5702,                0.78821,                 1.3791,              3.676e-05,              3.676e-05,              3.676e-05
                     71,                 1.2134,                0.73101,                 1.1388,                 0.8216,                0.88588,                0.88073,                 0.4683,                 1.5732,                0.78415,                 1.3768,             3.5612e-05,             3.5612e-05,             3.5612e-05
                     72,                 1.2059,                0.73357,                 1.1334,                0.83593,                0.85559,                0.88242,                0.46564,                 1.5748,                0.78824,                 1.3853,             3.4464e-05,             3.4464e-05,             3.4464e-05
                     73,                 1.1991,                0.72634,                 1.1353,                0.84377,                0.84859,                0.88307,                0.47261,                 1.5525,                0.77879,                 1.3663,             3.3315e-05,             3.3315e-05,             3.3315e-05
                     74,                 1.1952,                0.73136,                  1.128,                0.83023,                0.86553,                 0.8834,                0.46964,                 1.5671,                0.77835,                 1.3682,             3.2167e-05,             3.2167e-05,             3.2167e-05
                     75,                 1.1815,                0.71987,                 1.1337,                0.84067,                0.83657,                0.87872,                0.46547,                 1.5786,                0.79157,                  1.377,             3.1018e-05,             3.1018e-05,             3.1018e-05
                     76,                  1.198,                0.72334,                 1.1323,                 0.8405,                0.86089,                0.88416,                0.47074,                 1.5629,                0.79408,                  1.371,              2.987e-05,              2.987e-05,              2.987e-05
                     77,                  1.187,                0.71596,                 1.1276,                0.84688,                0.85662,                0.88459,                0.47108,                 1.5765,                0.78778,                 1.3733,             2.8722e-05,             2.8722e-05,             2.8722e-05
                     78,                 1.1994,                0.72646,                 1.1317,                0.83245,                0.86379,                0.87593,                0.46736,                 1.5865,                0.78822,                 1.3855,             2.7573e-05,             2.7573e-05,             2.7573e-05
                     79,                 1.1733,                0.71035,                 1.1231,                0.83662,                0.84654,                0.87809,                0.46731,                 1.5814,                0.79026,                 1.3865,             2.6425e-05,             2.6425e-05,             2.6425e-05
                     80,                 1.1894,                 0.7161,                 1.1308,                0.83964,                 0.8594,                0.87995,                0.46564,                 1.5892,                0.78733,                 1.3845,             2.5276e-05,             2.5276e-05,             2.5276e-05
                     81,                 1.1883,                 0.7156,                 1.1245,                0.84212,                0.85863,                 0.8791,                0.46523,                 1.5931,                0.79567,                 1.3927,             2.4128e-05,             2.4128e-05,             2.4128e-05
                     82,                 1.1657,                0.70989,                 1.1223,                0.84289,                0.86295,                0.87893,                0.46994,                 1.5728,                0.78456,                 1.3791,              2.298e-05,              2.298e-05,              2.298e-05
                     83,                 1.1752,                0.70986,                 1.1215,                0.83767,                0.86421,                 0.8802,                0.46626,                 1.5936,                0.78921,                 1.3909,             2.1831e-05,             2.1831e-05,             2.1831e-05
                     84,                 1.1703,                0.70551,                 1.1224,                0.84469,                 0.8644,                0.88441,                0.46959,                 1.5787,                0.78058,                 1.3846,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     85,                 1.1607,                0.69636,                 1.1194,                0.83494,                0.86177,                0.88005,                0.46881,                  1.569,                0.78222,                 1.3828,             1.9534e-05,             1.9534e-05,             1.9534e-05
                     86,                 1.1675,                 0.7049,                 1.1172,                0.82882,                0.86967,                0.88331,                0.46984,                 1.5767,                0.78648,                 1.3801,             1.8386e-05,             1.8386e-05,             1.8386e-05
                     87,                  1.172,                0.70733,                   1.12,                0.83464,                0.86478,                0.88441,                0.46659,                 1.5907,                0.78993,                 1.3901,             1.7238e-05,             1.7238e-05,             1.7238e-05
                     88,                 1.1789,                0.71245,                 1.1193,                0.83899,                0.87054,                0.88522,                0.46847,                 1.5835,                0.78938,                 1.3902,             1.6089e-05,             1.6089e-05,             1.6089e-05
                     89,                  1.181,                0.70724,                 1.1183,                  0.841,                0.86844,                0.87865,                0.46481,                 1.5968,                0.79062,                 1.3969,             1.4941e-05,             1.4941e-05,             1.4941e-05
                     90,                 1.1537,                0.69447,                  1.107,                0.83841,                0.87027,                0.88334,                0.46849,                 1.5858,                0.78486,                 1.3914,             1.3792e-05,             1.3792e-05,             1.3792e-05
                     91,                 1.1922,                0.66676,                 1.1249,                0.82055,                0.84622,                0.86098,                0.45384,                 1.6042,                0.81272,                 1.4029,             1.2644e-05,             1.2644e-05,             1.2644e-05
                     92,                 1.1663,                0.64517,                 1.1112,                0.82774,                0.84799,                0.86731,                0.45735,                 1.6053,                0.80113,                 1.4061,             1.1496e-05,             1.1496e-05,             1.1496e-05
                     93,                 1.1557,                0.64069,                 1.0992,                0.81939,                0.86396,                0.87551,                0.46496,                  1.582,                0.79085,                 1.3899,             1.0347e-05,             1.0347e-05,             1.0347e-05
                     94,                 1.1493,                0.63922,                 1.1047,                0.83332,                0.85971,                0.88253,                0.46302,                 1.5966,                0.79642,                 1.3986,             9.1988e-06,             9.1988e-06,             9.1988e-06
                     95,                 1.1369,                0.63332,                 1.0957,                0.82581,                0.86544,                0.88164,                0.46488,                 1.5766,                0.79063,                 1.3888,             8.0504e-06,             8.0504e-06,             8.0504e-06
                     96,                 1.1327,                0.62825,                 1.0927,                0.83837,                0.85693,                0.88142,                0.46547,                 1.5834,                0.79502,                  1.393,              6.902e-06,              6.902e-06,              6.902e-06
                     97,                 1.1285,                0.62466,                 1.0928,                0.83134,                0.86165,                0.87617,                0.46476,                 1.5826,                0.79697,                 1.3917,             5.7536e-06,             5.7536e-06,             5.7536e-06
                     98,                  1.128,                0.62615,                 1.0972,                0.83926,                0.85876,                0.87847,                0.46403,                 1.5847,                0.79119,                 1.3966,             4.6052e-06,             4.6052e-06,             4.6052e-06
                     99,                 1.1327,                0.62814,                 1.0925,                0.83554,                0.86214,                0.87804,                0.46024,                 1.5927,                0.79688,                 1.3998,             3.4568e-06,             3.4568e-06,             3.4568e-06
                    100,                 1.1241,                0.62696,                 1.0897,                0.83671,                0.85897,                0.87607,                0.46004,                 1.5908,                0.79631,                 1.3975,             2.3084e-06,             2.3084e-06,             2.3084e-06
